sentence,emotion
not feel humiliated,1
go feeling hopeless damned hopeful around someone cares awake,1
grafting minute post feel greedy wrong,1
ever feeling nostalgic fireplace know still note property,0
feeling crouch,1
feeling little burdened lately not sure,1
bee nothing milligrams times recommended amount fallen asleep lot faster also feel like funny,0
feel confused life teenager jaded year old man,1
petrovna years feel petrovna performed well made huge profit,0
feel romantic,0
feel like make suffering seeing mean something,1
feel running divine experience expect type spiritual encounter,0
think easiest time year feel dissatisfied,1
feel low energy thirsty,1
immense sympathy general point possible proto writer trying find time write note corners life no sign agent let alone publishing contract feels little precious,0
not feel reassured anxiety side,0
not really feel embarrassed,1
feel pretty pathetic time,1
started feeling sentimental dolls child began collection vantage bare dolls sixties,1
feel compromised skeptically value every unit work put,1
feel irritated rejected without anyone anything saying anything,1
feeling completely overwhelmed two strategics help feel grounded pour heart journal note form letter god end list things grateful,1
feeling amused delighted,0
able help chair lifetime support encouragement great feeling glad able help,0
already feel like tucked though not usually eat note morning,1
still love wish best hi no longer tolerate effect lives fact turned bitter angry person not always particularly kind people around hi feeling stressed,1
feel inhabited someone else kitchen like painting someone else picture,1
become overwhelmed feel defeated,1
feel kind appalled feels like needs explain wide length body measures etc pp,1
feel superior dead chicken grieving child,0
get giddy feeling elegant perfectly fitted pencil skirt,0
remember feeling acutely distressed days,1
seen heard read past couple days left feeling impressed companies,0
climbed hill feeling frustrated id pretty much paced entirely wrong course factor never ever hampered made went note day,1
ca not imagine real life scenario would emotional connected enough someone feel totally accepted safe morally acceptable close prolonged physical contact sex wo not expected subsequently,0
not sure would make feel content anything,0
feeling need creative,0
however want know something someone causing feel less splendid self step away,0
feel bit rude writing elderly gentleman not ask gifts feel bit greedy christmas not mild greed,1
need need someone need protected feel safe small find season no words,0
plan not share everyday life stories traveling adventures inspiration handmade creation hope also feel inspired,0
already christmas trees got two feeling felt sure spurring get started book,0
worn little concealed days feeling brave not want pale perfect,0
feel strongly passionate jerk decides spoke make fun us,0
feeling discouraged already robbing peter pay paul get cow year not afford not get cow way,1
feeling listless need new things something different,1
lost special mind not worry still sane wanted feel felt reading book not know many times said sam special guarantee many times used paragraph tell special,0
ca not let go sad feeling want accepted first home mine,0
boat trip denmark,0
stopped feeling cold began feeling hot,1
need feel dough make sure perfect,0
found feeling little discouraged morning,1
feel selfish spoiled,1
studied little bit wrote feeling ensure might go somewhere story unintended,1
bag look crying jacynthe looking good feeling gorgeous paul skins scissors sisters valentine sun fed table daddy feeling awake unkind u,0
feel know basically like face note realm science fiction,1
hate living days roof gives hi excuse ashore providing li think feels needs make feel unwelcome possible ill leave,1
keep feeling pleasantly surprised supportiveness also ease new situations,0
feeling anymore vigorous sexual activity note coming yes misspelt humming days parts begin not fall,0
feel mon graceful warm loving smile rob time nurtured heal,0
feel talk brother law extremely popular one no think stiff,0
ate could feel gentle tingle throughout almost feeling healing taking place cellular level,0
feel like pressure young beautiful thin depending note trend girls rejuvenated butt plants,1
began several times week feeling tortured hallucinations moving people figures sounds vibration,1
nearly finished week veto feel amazing,0
feel selfish read back former posts never asked prayers others never considered may others deserve prayers answered,1
know pain parents feel enraged child becomes violent,1
roller coster emotions supposed feelings something unpleasant coming,1
suppose north needs shared not feeling faithful lately swelled doubt uncertainty faith,0
feeling brave bought clearly make,0
feeling miserable c also protest sum earth,1
figure family loves us no matter around anyone else feel embarrassed mitchell goes ballistic,1
not necessarily think f bombs sex necessary stories feel reassured see print journals,0
feel varies aching talking like put,1
not feel like much chris mostly took many pictures unimportant stuff,1
tired book ready finding given unsuitable images feeling blamed result not sit well,1
successfully manage stretch mmm canvas feel achievement worthwhile usage money time use canvas future briefs,0
think feelings one nay important things,0
feel completely honored influence young talented fully ali beautiful girl woman,0
feel angered fire,1
feel like miserable piece garage,1
feel like need make list leave would appalled thought not miss anything,1
drove dannika school feeling little bit rushed greeted turned corner,1
remember feeling help furious shorter,1
feel happy excited since learned many things,0
feel shows around show horses people trusting relaxed show horses safe quiet handled frequently,0
couple things left make start december done feeling snug,0
think u could make feel realize everything ok,0
feel worthless times struggling finding work,1
able lay bed note dark not feel terrified least,1
ready meet mon note airport feel ever support arms around,0
feeling bitter today mood strange entire day guess,1
sums brother passed away involved car accident bringing present passed form exam flying colours,1
letting go animosity towards anyone feel wronged,1
talk dogs feel cannot understand words read emotions know support decided go home,0
feel like throwing away thirty piece shit paper,1
starting feel dryly amused canal comedy errors life turning,0
find every body beautiful want people feel vital bodies,0
hear owners feel victimized associations associations attorneys property manager,1
say goodby sad crying feel like heartless bitch hey pretty excited flying first time know also spend year another country,1
not let child cry feel loving lily little going opportunities lasted short months,0
alba feel good fitting,0
feel excited feel like ton catching,0
also know good feels look back see honored word helps start,0
mean really really hard works obtain high technical skill wish feel kind ashamed somehow motivate saw kiss wish performances whole heartily despite tiredness,1
feel like things getting little overwhelming spirit tone really helps calm soothe,0
hope realize little effort required make person feel better situation whether family member college high school friend neighbor note street even complete stranger,0
feeling felt today even going put tree soon finished catching week goings coronation street,0
finding not ill not seriously,0
alright class combination feeling unsuccessful man handled stress late horrible week resulted almost crying finished grasping,1
feel rarely advances worthwhile cause always stick rule not posting anything online would not prepared say somebody face,0
feeling useful,0
feel like pains cannot imagine becoming passionate group idea causing pain,0
feel ugly inclined wear fatty jeans sweatshirt beautiful dress though might still wear pair heels around house boost self esteem ever slightly definitely wo not bother buy new pair,1
not feeling homesick yet feeling alright,1
dance feel pretty,0
lookout every morning feel fabulous,0
feel eyes not touch words eyes know assuredly return this love know shall not vain,1
feeling fabulous friday morning started get awful cramps work,0
feel honoured able call friends share brotherhood,0
begun not feel apprehensive nothing black rain clouds stormed sky town,1
stated reason feel fearful feel safe,1
not feel like getting shake note quite yet pulled side create croissants lunch,1
get groups feel really awkward overcompensate talkative getting really quiet,1
excited finally meet companion that companion notices especially lonely lonely companion never disappoint companion put arms around make feel loved,0
feel pretty safe blow ing sac http,0
feel pretty eager get done fun plan quitting,0
feeling horny ask lets go home,0
think poem not put pressure not feel uncomfortable note sense feeling feel understanding understand loving able love,1
feel stranger strange land raising son place not father ancestral home,0
left shower questioning feel gorgeous fantastic body confident movement effortlessly graceful,0
feel energetic bounty happy go grm run around outside kiss take pray long walk often three one day,0
still feeling strong,0
not burst tears devastating release feelings thoughts seemed know rich also go space without dumping,0
wanted get pushkin spice late morning hot last thing wanted hot coffee maybe feeling little bitter,1
suppose feels badly bit skeptically pain last months hypochondria exaggeration habit note past though never openly questioned,1
clench corners bed feel assured,0
also feel like selfish not grateful life amazing things,1
called god would seen god book figured god right name feeling utterly affirmed accepted without question,0
not know perhaps girls note office nice short hair perhaps feeling rebellious,1
not feel miserable family not type celebrates,1
might go get car wash feeling really generous car needs,0
still feel sleep deprived almost sleeping night giving us,1
feel really violent right,1
blowing sitting feeling content dogs amp cat etc know lucky truth,0
started feeling funny friday woke sick dog,0
feel need protect parents witch hunt repressed memory therapy,1
feel disgusted even associated woman race nationality,1
laughed bitterly not feeling bitter,1
could not know feeling thought wished could bee nowhere us us knew however much hated first experience would remember forever,1
feeling quite mellow wanted soft easy look wear beginning cold,0
told hi maybe need time think feeling indecision nothing lately,1
still feel gene disservice stories resolved artificially,0
always know feeling artistic write name artistic mood vanity draw circle not dot bigger dot artistic feeling line like accent mark spanish passed,0
remember feeling really terrified brazil bus going steep mountain hills note side mountain note middle big storm wondering going fall,1
could feel whisper thought unmoved scared,1
certainly not going sit tell going personal life feel ever curious going life watch show,0
sorry not humor post not feeling funny,0
feel got foot note door fantastic world walking running trails fell mountains,0
say whatever comes mind tell directly feel jealous girl not insecure love person trust worthy friend sweet one love,1
feel strange coming back work one day holiday,1
clearly influenced dash happiness emily dickinson example use dashed instead colony semi colony enhance feelings rushed encampment note bonnet,1
father thing life remain control whether not get eat peanuts butter bread get home impossible day first world looking yet third world feeling hell needy neglected little girls,1
could clay redeem gene not leave feeling entirely frustrated point beating head wall either,1
feel sad hopeless,1
getting feeling classes little intimidated concept lit,1
